Title,Job Type,Skills,Company Location,Company Name,Time
.css-o171kl{-webkit-text-decoration:none;text-decoration:none;color:inherit;}Senior Data Analyst,Full Time,"Senior Data Analyst, Experienced, · Business Development, · Analyst/Research","Smart Village, Giza, Egypt",Fawry for Banking Technology and Electronic Payments S.A.E -,2 days ago
Data Analyst,Full Time,"Data Analyst, Experienced, · Business Development, · Analyst/Research","Heliopolis, Cairo, Egypt",Confidential -,9 days ago
Data Analyst,Full Time,"Data Analyst, Experienced, · IT/Software Development, · Analyst/Research","Katameya, Cairo, Egypt",Othaim -,4 days ago
Data Analyst,Full Time,"Data Analyst, Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology","Zamalek, Cairo, Egypt",Al Ahly capital holding - Al Ahly Tamkeen -,16 days ago
Data Analyst,Full Time,"Data Analyst, Experienced, · R&D/Science, · IT/Software Development, · Analyst/Research","Maadi, Cairo, Egypt",Hands of Hope Physical Therapy & Wellness -,28 days ago
ERPNext Specialist/Data Analyst,Full Time,"ERPNext Specialist/Data Analyst, Experienced, · IT/Software Development","Alexandria, Egypt",Confidential -,29 days ago
Data Analyst,Full Time,"Data Analyst, Experienced, · Sales/Retail","Cairo, Egypt",Natcom -,25 days ago
Data Analyst,Full Time,"Data Analyst, Entry Level, · IT/Software Development, · Engineering - Telecom/Technology","Cairo, Egypt",Nugttah -,1 month ago
Senior Business Analyst,Full Time,"Senior Business Analyst, Manager, · Business Development, · Project/Program Management, · Analyst/Research","Cairo, Egypt",Guardian towing -,8 days ago
Software Business Analyst,Full Time,"Software Business Analyst, Experienced, · IT/Software Development, · Analyst/Research, · Engineering - Telecom/Technology","Dokki, Giza, Egypt",WSC -,8 days ago
Market Research Analyst,Full Time,"Market Research Analyst, Experienced, · Marketing/PR/Advertising, · Analyst/Research","Maadi, Cairo, Egypt",Gap Polymers  -,9 days ago
Financial Analyst - Innoventures,Full Time,"Financial Analyst - Innoventures, Experienced, · Accounting/Finance, · Analyst/Research","Heliopolis, Cairo, Egypt",Cultiv -,10 days ago
Business analyst,Full Time,"Business analyst, Experienced, · IT/Software Development, · Analyst/Research","Maadi, Cairo, Egypt",Dawi Clinics -,9 days ago
Data Analyst (On-Site),Full Time,"Data Analyst (On-Site), Experienced, · IT/Software Development, · Analyst/Research","Dokki, Giza, Egypt",Union Coop -,1 month ago
Senior Sales Analyst (Power BI),Full Time,"Senior Sales Analyst (Power BI), Experienced, · IT/Software Development, · Analyst/Research, · Sales/Retail","10th of Ramadan City, Cairo, Egypt",Alarabia Group -,15 days ago
